Tests,Sum of 15,Ave RMSE of 15 mins,"RMSE 15 OFF, 15 OFF","RMSE 15 OFF, 15 ON","RMSE 15 ON, 15 ON","RMSE 15 ON, 15 OFF",Total Tests Used,Average RMSE
1,0,0.00974646003136587,,,,,770,0.159978669456704
2,0,0.0101034570295112,0.019849917060877,,,,30,4.10611918272208
3,0,0.0102005683941491,,,,,199,0.0239853195705896
4,0,0.0103074742314983,0.0205080426256474,,,,31,1.04056633459346
5,0,0.0103558978195797,,,,,,
6,0,0.0102788757056141,0.0206347735251938,,,,,
7,0,0.0103978445756669,,,,,,
8,0,0.0105051044296898,0.0209029490053567,,,,,
9,0,0.0105941632358961,,,,,,
10,0,0.0105865639753317,0.0211807272112278,,,,,
11,0,0.0105224334723984,,,,,,
12,0,0.0106549348299361,0.0211773683023345,,,,,
13,0,0.0106761257271688,,,,,,
14,0,0.0106142869406134,0.0212904126677822,,,,,
15,0,0.0105611598569035,,,,,,
16,0,0.0105353418586705,0.0210965017155739,,,,,
17,0,0.0105328214232197,,,,,,
18,0,0.0105163401135735,0.0210491615367932,,,,,
19,0,0.0105260227894987,,,,,,
20,0,0.0105165932714798,0.0210426160609785,,,,,
21,0,0.0104781275268831,,,,,,
22,0,0.0104531646094182,0.0209312921363013,,,,,
23,0,0.0104527914690462,,,,,,
24,0,0.0103687728764686,0.0208215643455147,,,,,
25,0,0.0103266011070785,,,,,,
26,0,0.010332355565964,0.0206589566730425,,,,,
27,0,0.0102911658432239,,,,,,
28,0,0.0101965793458377,0.0204877451890616,,,,,
29,0,0.0100975856158204,,,,,,
30,4,0.0166006723014286,,,,,,
31,15,0.0481352563578966,,0.058232841973717,,,,
32,15,0.055847407367029,,,,,,
33,15,0.0607705590779648,,,0.116617966444994,,,
34,15,0.0616792686045923,,,,,,
35,15,0.0609194040335839,,,0.122598672638176,,,
36,15,0.0601919383710281,,,,,,
37,15,0.0595338900317926,,,0.119725828402821,,,
38,15,0.0588812339375065,,,,,,
39,15,0.0582938651366301,,,0.117175099074137,,,
40,15,0.0577453457946478,,,,,,
41,15,0.0572828494404783,,,0.115028195235126,,,
42,15,0.0568189410140585,,,,,,
43,15,0.0563926885774158,,,0.113211629591474,,,
44,15,0.0559711867799341,,,,,,
45,15,0.0555527323312643,,,0.111523919111198,,,
46,13,0.0575714012425693,,,,,,
47,0,0.0649157375691369,,,,0.120468469900401,,
48,0,0.0669688763215501,0.131884613890687,,,,,
49,0,0.0725268193023594,,,,,,
50,0,0.0723435355708893,0.144870354873249,,,,,
51,4,0.0720025713636801,,,,,,
52,15,0.077898626316428,,0.150242161887317,,,,
53,15,0.0810092001231808,,,0.158907826439609,,,
54,15,0.0807638222283198,,,,,,
55,15,0.0814308513074677,,,0.162194673535787,,,
56,15,0.0809830409561366,,,,,,
57,15,0.0804049006740575,,,0.161387941630194,,,
58,15,0.0798228736792539,,,,,,
59,15,0.0792308443865726,,,0.159053718065826,,,
60,15,0.0786692636510447,,,,,,
61,15,0.0781396384485754,,,0.15680890209962,,,
62,15,0.0776505621679082,,,,,,
63,15,0.0771780106418827,,,0.154828572809791,,,
64,15,0.0767135707833873,,,,,,
65,10,0.076905750632264,,,,,,
66,0,0.0776632325972458,,,,0.154376803380633,,
67,0,0.0773799134102788,0.155043146007525,,,,,
68,0,0.0810289114668813,,,,,,
69,0,0.081071595897958,0.162100507364839,,,,,
70,0,0.0805000915369652,,,,,,
71,0,0.0799407183525563,0.160440809889521,,,,,
72,0,0.0793924032424477,,,,,,
73,0,0.0788563476897096,0.158248750932157,,,,,
74,0,0.0783346615548277,,,,,,
75,0,0.0778280813839241,0.156162742938752,,,,,
76,0,0.0773297901722452,,,,,,
77,0,0.0768401796322177,0.154169969804463,,,,,
78,0,0.0763605521926368,,,,,,
79,0,0.0758877263984251,0.152248278591062,,,,,
80,0,0.0754237989602231,,,,,,
81,0,0.0749653445759372,0.15038914353616,,,,,
82,0,0.0745167846294699,,,,,,
83,0,0.0740759543397388,0.148592738969209,,,,,
84,0,0.073650637784608,,,,,,
85,0,0.0732392311505721,0.14688986893518,,,,,
86,0,0.0728314657858199,,,,,,
87,0,0.0724305573736865,0.145262023159506,,,,,
88,0,0.0720371012506545,,,,,,
89,0,0.0716491696719793,0.143686270922634,,,,,
90,0,0.0712680247708064,,,,,,
91,0,0.070893348022181,0.142161372792987,,,,,
92,0,0.0705268414508228,,,,,,
93,0,0.0701684353345788,0.140695276785402,,,,,
94,0,0.0698112761604957,,,,,,
95,0,0.0694617242200969,0.139273000380593,,,,,
96,0,0.0691181407498975,,,,,,
97,0,0.068777738281244,0.137895879031141,,,,,
98,0,0.0684432830285629,,,,,,
99,0,0.0681160502626334,0.136559333291196,,,,,
100,0,0.0677947255943531,,,,,,
101,0,0.0674758752662318,0.135270600860585,,,,,
102,0,0.0671621572710319,,,,,,
103,0,0.0668551732779098,0.134017330548942,,,,,
104,0,0.0687384113481927,,,,,,
105,0,0.0695890774045336,0.138327488752726,,,,,
106,0,0.0693929521131936,,,,,,
107,0,0.0690842114022908,0.138477163515484,,,,,
108,0,0.0687781668297155,,,,,,
109,0,0.0748792652198678,0.143657432049583,,,,,
110,0,0.0779238766018617,,,,,,
111,0,0.0788477566057621,0.156771633207624,,,,,
112,0,0.0785462346010626,,,,,,
